# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	40058
#@/user_id	stella
a 	啊	c=69 d=3.31908 t=40058
bi jiao 	比較	c=23 d=1.06785 t=40058
bi jiao cheng shu 	比較成熟	c=1 d=0.101266 t=40058
bi jiao da 	比較大	c=1 d=0.035437 t=40058
bi jiao duo 	比較多	c=1 d=2.91687e-06 t=40058
bi jiao yan jiu 	比較研究	c=0 d=2.65388e-13 t=40058
bi jiao you shi 	比較優勢	c=1 d=0.0575558 t=40058
bi jing 	畢竟	c=2 d=1.22186 t=40058
bi li 	比例	c=7 d=0.232502 t=40058
bi li guan xi 	比例關係	c=1 d=0.396531 t=40058
bi li si wang bi 	比例死亡比	c=1 d=8.52869e-11 t=40058
bi mian 	避免	c=12 d=0.686797 t=40058
bi mu 	閉幕	c=1 d=0.22313 t=40058
bi nei 	鼻內	c=2 d=0.0194492 t=40058
bi ni 	比你	c=1 d=0.33454 t=40058
bi ran 	必然	c=2 d=0.652537 t=40058
bi ran hui 	必然會	c=1 d=0.511709 t=40058
bi re 	比熱	c=0 d=2.15675e-14 t=40058
bi re rong 	比熱容	c=1 d=2.16757e-13 t=40058
bi ru 	比如	c=33 d=2.4067 t=40058
bi ru xiang 	比如像	c=1 d=0.251579 t=40058
bi shang 	閉上	c=-1 d=1.21946e-07 t=40058
bi shang shuang yan 	閉上雙眼	c=1 d=0.737123 t=40058
bi sheng 	必勝	c=1 d=0.501979 t=40058
bi shi 	筆試	c=3 d=0.604218 t=40058
bi shu 	比數	c=0 d=7.52655e-12 t=40058
bi shu bi 	比數比	c=1 d=7.56427e-11 t=40058
bi si 	鼻飼	c=2 d=0.000435072 t=40058
bi wu 	筆誤	c=2 d=0.00570363 t=40058
bi xu 	必需	c=12 d=1.31147 t=40058
bi xu 	必須	c=13 d=1.20122 t=40058
bi xu an ji suan 	必需氨基酸	c=1 d=3.21744e-10 t=40058
bi xu ji huo ji 	必需激活劑	c=1 d=0.832665 t=40058
bi xu ji tuan 	必需基團	c=6 d=3.17432 t=40058
bi xu you 	必須由	c=1 d=0.000356206 t=40058
bi xu zhi fang suan 	必需脂肪酸	c=1 d=3.47589e-10 t=40058
bi yao 	必要	c=2 d=0.585669 t=40058
bi yao de dan sun shi 	必要的氮損失	c=1 d=2.96196e-10 t=40058
bi ye 	畢業	c=1 d=0.00428521 t=40058
bi ye hou 	畢業後	c=1 d=0.00196945 t=40058
bi ye sheng 	畢業生	c=0 d=0.0111359 t=40058
bi ye yu 	畢業於	c=1 d=6.39714e-10 t=40058
bi ye zheng 	畢業證	c=7 d=0.110782 t=40058
bi you 	必有	c=0 d=1.63426e-15 t=40058
bi yu 	碧玉	c=0 d=9.52363e-16 t=40058
bi zai 	比在	c=1 d=0.000437252 t=40058
bi zhe 	比着	c=1 d=0.752014 t=40058
bi zheng 	必爭	c=0 d=0.0918512 t=40058
bi zhi 	比值	c=1 d=0.245367 t=40058
bi zhi bi 	比值比	c=1 d=4.10014e-12 t=40058
bi zi 	鼻子	c=1 d=0.0195457 t=40058
bian 	編	c=6 d=3.05793 t=40058
bian 	變	c=3 d=0.918521 t=40058
bian 	辨	c=0 d=6.51284e-16 t=40058
bian 	邊	c=2 d=0.818731 t=40058
bian bian 	變變	c=1 d=0.0471227 t=40058
bian ce 	鞭策	c=1 d=0.960789 t=40058
bian cheng 	編成	c=4 d=1.20757 t=40058
bian cheng 	變成	c=4 d=0.985651 t=40058
bian cheng yu yan 	編程語言	c=1 d=0.0175975 t=40058
bian dong 	變動	c=1 d=0.522046 t=40058
bian ge 	變革	c=1 d=0.641332 t=40058
bian gou 	編構	c=-1 d=5.58832e-08 t=40058
bian gou 	變構	c=1 d=0.413263 t=40058
bian gou xiao ying 	變構效應	c=1 d=0.418952 t=40058
bian hao 	編好	c=1 d=0.0211736 t=40058
bian hao 	編號	c=9 d=1.56889 t=40058
bian hao zhong 	編號中	c=1 d=0.612626 t=40058
bian hua 	變化	c=15 d=1.43408 t=40058
bian hua gui lv 	變化規律	c=1 d=0.145148 t=40058
bian huan 	變換	c=4 d=1.29973 t=40058
bian ji 	編輯	c=2 d=0.0139806 t=40058
bian ji qi 	編輯器	c=2 d=0.0275983 t=40058
bian jie 	便捷	c=1 d=1.73026e-09 t=40058
bian jie 	邊界	c=0 d=0.0767206 t=40058
bian le 	變了	c=0 d=0.0404542 t=40058
bian li 	便利	c=1 d=0.0652042 t=40058
bian li 	遍歷	c=2 d=1.00122e-06 t=40058
bian li di 	便利地	c=1 d=0.0515605 t=40058
bian li di 	便利第	c=-1 d=0 t=40058
bian li hua 	便利化	c=2 d=0.867218 t=40058
bian li xing 	便利性	c=1 d=0.140858 t=40058
bian liang 	變量	c=2 d=0.748264 t=40058
bian lun 	辯論	c=1 d=0.429557 t=40058
bian ma 	編碼	c=12 d=2.77118 t=40058
bian ma an ji suan 	編碼氨基酸	c=1 d=0.00145901 t=40058
bian ma qu 	編碼區	c=1 d=0.933106 t=40058
bian min 	便民	c=0 d=0.0802519 t=40058
bian min hui min fu wu 	便民惠民服務	c=1 d=0.806541 t=40058
bian pai 	編排	c=1 d=0.190139 t=40058
bian shang 	邊上	c=2 d=0.814647 t=40058
bian tai 	變態	c=2 d=0.461178 t=40058
bian tai fan ying 	變態反應	c=1 d=0.0450492 t=40058
bian wei 	變爲	c=1 d=0.650509 t=40058
bian wei xian shi 	變爲現實	c=1 d=0.0608101 t=40058
bian xie 	編寫	c=3 d=0.00204144 t=40058
bian xing 	變性	c=26 d=3.01702 t=40058
bian xing de 	變性的	c=1 d=0.307279 t=40058
bian xing jin gang 	變形金剛	c=1 d=0.985112 t=40058
bian xing wei 	變性爲	c=1 d=0.11475 t=40058
bian xing yin su 	變性因素	c=1 d=0.190139 t=40058
bian yi 	編譯	c=6 d=1.53755 t=40058
bian yi 	變異	c=1 d=3.09887e-09 t=40058
bian yi 	貶義	c=1 d=0.122456 t=40058
bian yi ji yin 	變異基因	c=1 d=3.03642e-08 t=40058
bian yi xi shu 	變異係數	c=1 d=7.19536e-11 t=40058
bian ying xing jie chu xing pi yan 	變應性接觸性皮炎	c=1 d=2.27243e-10 t=40058
bian ying yuan 	變應原	c=4 d=1.91678 t=40058
bian yu 	便於	c=1 d=0.995012 t=40058
bian zheng fa 	辯證法	c=1 d=0.540641 t=40058
bian zhi 	編制	c=1 d=0.170333 t=40058
bian zhu 	邊註	c=1 d=0.704688 t=40058
biao 	標	c=1 d=0.0242926 t=40058
biao 	表	c=2 d=0.373439 t=40058
biao chen 	飆塵	c=0 d=8.15202e-10 t=40058
biao da 	表達	c=12 d=1.21461 t=40058
biao da hou 	表達後	c=1 d=0.133989 t=40058
biao da sha 	表達啥	c=1 d=1 t=39888
biao da xi tong 	表達系統	c=1 d=0.000553084 t=40058
biao da yu 	表達於	c=2 d=1.23832 t=40058
biao da yu 	表達與	c=-1 d=8.98612e-08 t=40058
biao da zai ti 	表達載體	c=1 d=0.000480828 t=40058
biao fang 	標方	c=-1 d=1.38832e-07 t=40058
biao ge 	標個	c=4 d=0.917287 t=40058
biao ge 	表格	c=11 d=3.26268 t=40058
biao ge ge shi 	表格格式	c=1 d=0.00719046 t=40058
biao guan 	表觀	c=5 d=1.73241 t=40058
biao hao 	標號	c=3 d=0.0569831 t=40058
biao hua 	標化	c=1 d=2.52926e-05 t=40058
biao hua bi 	標化比	c=1 d=3.40764e-12 t=40058
biao hua bi li si wang bi 	標化比例死亡比	c=1 d=3.42473e-12 t=40058
biao hua si wang bi 	標化死亡比	c=1 d=3.39065e-12 t=40058
biao ji 	標記	c=1 d=0.881466 t=40058
biao ma 	彪馬	c=1 d=0.00106477 t=40058
biao mian 	表面	c=7 d=1.33681 t=40058
biao mian biao zhi 	表面標誌	c=2 d=0.0107269 t=40058
biao mian fen zi 	表面分子	c=3 d=0.109665 t=40058
biao mian xiao ying 	表面效應	c=1 d=0.763379 t=40058
biao ming 	標明	c=1 d=0.786628 t=40058
biao ming 	表明	c=5 d=0.782705 t=40058
biao qian 	標籤	c=5 d=1.06895 t=40058
biao qing 	表情	c=3 d=0.328929 t=40058
biao shi 	表示	c=19 d=2.54189 t=40058
biao shu 	表述	c=2 d=0.974931 t=40058
biao shuai 	表率	c=0 d=1.86437e-06 t=40058
biao ti 	標題	c=9 d=1.6276 t=40058
biao tou 	表頭	c=1 d=0.0430669 t=40058
biao wei 	表位	c=9 d=1.85017 t=40058
biao wei da xiao 	表位大小	c=1 d=0.113042 t=40058
biao wei lei xing 	表位類型	c=1 d=0.121238 t=40058
biao wei wei zhi 	表位位置	c=1 d=0.124307 t=40058
biao wei xing zhi 	表位性質	c=1 d=0.110251 t=40058
biao xian 	表現	c=4 d=0.96567 t=40058
biao xian chu 	表現出	c=3 d=0.0148121 t=40058
biao xian le 	表現了	c=1 d=0.000204488 t=40058
biao xian xing shi 	表現形式	c=1 d=0.146607 t=40058
biao xian zai 	表現在	c=1 d=0.242926 t=40058
biao xing 	表型	c=1 d=0.00047843 t=40058
biao yan 	表演	c=1 d=0.995012 t=40058
biao yu 	標語	c=0 d=0.00893673 t=40058
biao zhi 	標誌	c=3 d=0.985171 t=40058
biao zhua 	標抓	c=-1 d=2.74084e-09 t=40058
biao zhun 	標準	c=8 d=1.00618 t=40058
biao zhun cha 	標準差	c=1 d=7.12377e-11 t=40058
biao zhun dui zhao 	標準對照	c=1 d=4.76368e-12 t=40058
biao zhun hua 	標準化	c=4 d=0.960824 t=40058
biao zhun hua fa 	標準化法	c=1 d=8.87675e-11 t=40058
biao zhun hua si wang bi 	標準化死亡比	c=1 d=8.92125e-11 t=40058
biao zhun jia ru fa 	標準加入法	c=1 d=0.45612 t=40058
biao zhun qu xian fa 	標準曲線法	c=1 d=0.453845 t=40058
biao zhun wu 	標準誤	c=2 d=0.463013 t=40058
bie 	別	c=8 d=1.6744 t=40058
bie 	癟	c=0 d=0.0537944 t=40058
bie dang 	別當	c=1 d=0.501576 t=40058
bie de 	別的	c=2 d=0.371577 t=40058
bie gei 	別給	c=1 d=0.900325 t=40058
bie gou 	別構	c=3 d=0.54093 t=40058
bie gou bu wei 	別構部位	c=1 d=0.108067 t=40058
bie gou dan bai 	別構蛋白	c=1 d=0.431711 t=40058
bie gou ji 	別構劑	c=1 d=0.451581 t=40058
bie gou ji huo ji 	別構激活劑	c=1 d=0.339596 t=40058
bie gou ji huo xiao ying 	別構激活效應	c=1 d=0.33454 t=40058
bie gou mei 	別構酶	c=7 d=0.756552 t=40058
bie gou tiao jie 	別構調節	c=1 d=0.118245 t=40058
bie gou xiao ying 	別構效應	c=11 d=1.79857 t=40058
bie gou xiao ying ji 	別構效應劑	c=4 d=0.458406 t=40058
bie gou yi zhi ji 	別構抑制劑	c=1 d=0.351692 t=40058
bie jun qu shi he shi huan 	別君去時何時還	c=1 d=2.27321e-14 t=40058
bie li 	別離	c=0 d=6.3488e-10 t=40058
bie niu 	彆扭	c=2 d=0.38318 t=40058
bie ren 	別人	c=5 d=0.00763509 t=40058
bie wang le 	別忘了	c=2 d=0.304221 t=40058
bin 	豳	c=1 d=0.0461896 t=40058
bin guan 	賓館	c=0 d=0.000532682 t=40058
bin zhu 	賓主	c=0 d=2.3481e-14 t=40058
bin zhu jin dong nan zhi mei 	賓主盡東南之美	c=1 d=2.35987e-13 t=40058
bing 	並	c=36 d=1.98289 t=40058
bing 	兵	c=0 d=0.0869358 t=40058
bing 	病	c=3 d=0.294983 t=40058
bing 	餅	c=2 d=0.847894 t=40058
bing an suan 	丙氨酸	c=2 d=0.00178203 t=40058
bing bu 	並不	c=5 d=0.491047 t=40058
bing bu da 	並不大	c=1 d=0.00308872 t=40058
bing bu neng 	並不能	c=1 d=1.26229e-05 t=40058
bing bu shi 	並不是	c=2 d=0.542409 t=40058
bing bu shou 	並不受	c=1 d=0.00900478 t=40058
bing bu zai 	並不在	c=1 d=0.683861 t=40058
bing cheng 	病程	c=0 d=9.33072e-13 t=40058
bing cheng chang duan pian yi 	病程長短偏倚	c=1 d=7.10658e-12 t=40058
bing cheng suo duan 	病程縮短	c=1 d=1.18652e-12 t=40058
bing cheng yan chang 	病程延長	c=1 d=1.08439e-12 t=40058
bing chi 	秉持	c=2 d=0.961132 t=40058
bing cun 	並存	c=3 d=0.785642 t=40058
bing du gan ran 	病毒感染	c=1 d=0.000174253 t=40058
bing dui 	並對	c=1 d=0.0668703 t=40058
bing er quan 	丙二醛	c=2 d=3.74898e-08 t=40058
bing fei 	並非	c=2 d=0.337272 t=40058
bing gai bian 	並改變	c=1 d=0.0992613 t=40058
bing ji 	並擊	c=1 d=0.0196437 t=40058
bing ji 	並集	c=1 d=0.740818 t=40058
bing ji ji 	並積極	c=1 d=0.109154 t=40058
bing jiang 	並將	c=2 d=0.991228 t=40058
bing ju 	並舉	c=0 d=0.097531 t=40058
bing kuai 	冰塊	c=1 d=2.15675e-13 t=40058
bing lei 	丙類	c=1 d=9.35603e-12 t=40058
bing li 	病例	c=3 d=0.0380064 t=40058
bing li 	病歷	c=1 d=0.612626 t=40058
bing li 	病理	c=0 d=0.0540641 t=40058
bing li bao gao 	病例報告	c=1 d=1.87953e-12 t=40058
bing li bing li 	病例病例	c=1 d=4.05935e-12 t=40058
bing li dui lie yan jiu 	病例隊列研究	c=1 d=3.9989e-12 t=40058
bing li dui zhao yan jiu 	病例對照研究	c=3 d=2.7206e-08 t=40058
bing li guo cheng 	病理過程	c=1 d=0.543351 t=40058
bing li jiao cha she ji 	病例交叉設計	c=1 d=4.01896e-12 t=40058
bing li pian yi 	病例偏倚	c=1 d=4.22501e-12 t=40058
bing li qian chu 	病例遷出	c=1 d=1.21049e-12 t=40058
bing li qian ru 	病例遷入	c=1 d=1.12302e-12 t=40058
bing li shi jian dui zhao she ji 	病例時間對照設計	c=1 d=4.0391e-12 t=40058
bing li xi lie fen xi 	病例系列分析	c=1 d=1.88895e-12 t=40058
bing li zu 	病例組	c=1 d=2.83114e-08 t=40058
bing li zu 	病立足	c=-1 d=4.2579e-15 t=40058
bing lian 	並聯	c=0 d=6.62613e-13 t=40058
bing lian shi yan 	並聯試驗	c=1 d=6.65935e-12 t=40058
bing lie 	並列	c=1 d=0.131336 t=40058
bing mei you 	並沒有	c=2 d=0.165302 t=40058
bing qie 	並且	c=3 d=1.21916 t=40058
bing se 	冰塞	c=0 d=5.23932e-15 t=40058
bing shi 	並使	c=1 d=0.0356204 t=40058
bing shi qi 	並使其	c=1 d=0.346456 t=40058
bing shui 	冰水	c=1 d=0.0250972 t=40058
bing si 	病死	c=0 d=1.16885e-13 t=40058
bing si lv 	病死率	c=4 d=2.27061e-11 t=40058
bing tong 	丙酮	c=2 d=0.568744 t=40058
bing tuan 	兵團	c=0 d=0.0438235 t=40058
bing wei 	並未	c=2 d=0.051052 t=40058
bing xiang 	並向	c=2 d=0.379083 t=40058
bing xiang 	冰箱	c=1 d=0.377192 t=40058
bing xing cheng 	並形成	c=1 d=0.00831246 t=40058
bing xue 	冰雪	c=0 d=0.0980199 t=40058
bing xue wu ren jian 	冰雪無人見	c=1 d=0.985112 t=40058
bing yi 	並以	c=1 d=0.125556 t=40058
bing yi ci 	並以此	c=1 d=0.324652 t=40058
bing yin 	病因	c=2 d=7.22313e-12 t=40058
bing yin fen zhi 	病因分值	c=2 d=8.10449e-12 t=40058
bing yin jia she 	病因假設	c=1 d=2.15119e-12 t=40058
bing yin lian 	病因鏈	c=1 d=7.69846e-12 t=40058
bing yin wang 	病因網	c=1 d=7.77584e-12 t=40058
bing yin xian suo 	病因線索	c=1 d=2.12978e-12 t=40058
bing yin yu fang 	病因預防	c=1 d=1.19534e-11 t=40058
bing you 	並有	c=1 d=0.00447164 t=40058
bing yu 	並與	c=1 d=7.03228e-06 t=40058
bing yu qi 	並與其	c=1 d=0.364219 t=40058
bing yu zhi 	並與之	c=2 d=0.0303234 t=40058
bing yuan 	病原	c=0 d=3.11223e-05 t=40058
bing yuan 	病源	c=1 d=0.346456 t=40058
bing yuan sheng wu 	病原生物	c=1 d=0.000312783 t=40058
bing yuan ti 	病原體	c=5 d=1.96118 t=40058
bing yuan ti xiang guan mo shi fen zi 	病原體相關模式分子	c=1 d=0.000319102 t=40058
bing zai 	並在	c=2 d=0.427415 t=40058
bing zhi zhuang 	並指狀	c=1 d=0.362402 t=40058
bing zhong 	病種	c=1 d=0.477114 t=40058
bing zhou 	并州	c=1 d=0.249075 t=40058
bo 	伯	c=0 d=7.178e-13 t=40058
bo 	啵	c=2 d=1.39057 t=40058
bo 	撥	c=0 d=0.0332871 t=40058
bo 	波	c=1 d=1.11415e-07 t=40058
bo 	薄	c=0 d=7.37626e-10 t=40058
bo ceng 	薄層	c=0 d=0.000446509 t=40058
bo ceng dian yong fa 	薄層電泳法	c=1 d=0.00193045 t=40058
bo ceng se pu fa 	薄層色譜法	c=2 d=0.00253791 t=40058
bo chang 	波長	c=6 d=0.546589 t=40058
bo ci 	波次	c=6 d=0.449441 t=40058
bo da 	撥打	c=1 d=9.28217e-07 t=40058
bo dao 	博導	c=1 d=0.767206 t=40058
bo diao 	剝掉	c=1 d=0.529935 t=40058
bo dong 	波動	c=0 d=1.54655e-13 t=40058
bo er 	玻爾	c=0 d=0.0257947 t=40058
bo er zi man fen bu ding lv 	玻爾茲曼分佈定律	c=1 d=0.25924 t=40058
bo fang 	播放	c=2 d=1.93131 t=40058
bo fang qi 	播放器	c=1 d=0.13466 t=40058
bo han yue yang cheng 	波撼岳陽城	c=1 d=1.70861e-08 t=40058
bo ke sen pian yi 	伯克森偏倚	c=1 d=7.21398e-12 t=40058
bo lan 	波瀾	c=0 d=1.82257e-15 t=40058
bo lan dong yuan kong 	波瀾動遠空	c=1 d=1.29848e-14 t=40058
bo li 	玻璃	c=1 d=0.0184074 t=40058
bo li duo xiao 	薄利多銷	c=2 d=0.814647 t=40058
bo mo 	薄膜	c=2 d=0.814917 t=40058
bo mu 	薄暮	c=0 d=1.51226e-14 t=40058
bo pu 	波譜	c=1 d=0.667878 t=40058
bo shi 	博士	c=3 d=0.586036 t=40058
bo shi sheng 	博士生	c=1 d=0.000274654 t=40058
bo shi yan jiu sheng 	博士研究生	c=1 d=0.216536 t=40058
bo si yu 	波斯語	c=1 d=0.0500366 t=40058
bo tao 	波濤	c=0 d=0.0960789 t=40058
bo tao xiong yong 	波濤洶涌	c=1 d=4.71132e-29 t=40058
bo wu 	博物	c=1 d=4.83486e-10 t=40058
bo wu 	薄霧	c=2 d=0.0380755 t=40058
bo wu guan 	博物館	c=7 d=0.266189 t=40058
bo wu long zhao 	薄霧籠罩	c=1 d=0.0157644 t=40058
bo wu yuan 	博物院	c=1 d=0.759587 t=40058
bo xiao kui yun fu 	薄霄愧雲浮	c=1 d=5.12319e-15 t=40058
bo zi 	脖子	c=0 d=0.071177 t=40058
bo zi teng 	脖子疼	c=1 d=0.715338 t=40058
bu 	不	c=42 d=3.32062 t=40058
bu 	布	c=3 d=0.876209 t=40058
bu 	補	c=0 d=0.120998 t=40058
bu 	部	c=1 d=0.438353 t=40058
bu bao cun 	不保存	c=1 d=0.18452 t=40058
bu bao xi wang 	不抱希望	c=1 d=0.995012 t=40058
bu bi 	不必	c=1 d=0.491644 t=40058
bu bi 	不比	c=1 d=5.57296e-05 t=40058
bu bian 	不便	c=4 d=1.63884 t=40058
bu bian 	不變	c=3 d=1.49941 t=40058
bu biao da 	不表達	c=1 d=0.00355287 t=40058
bu bu 	補補	c=3 d=0.427765 t=40058
bu cai liao 	補材料	c=1 d=0.398519 t=40058
bu can 	逋殘	c=-1 d=1.47417e-07 t=40058
bu can shi shang ying 	不慚世上英	c=1 d=2.9043e-14 t=40058
bu chan sheng 	不產生	c=2 d=0.980346 t=40058
bu chang 	不常	c=0 d=4.43092e-14 t=40058
bu chang 	補償	c=1 d=0.132655 t=40058
bu chang yong 	不常用	c=1 d=0.0547488 t=40058
bu cheng 	不成	c=1 d=0.351692 t=40058
bu cheng gong 	不成功	c=2 d=0.213312 t=40058
bu cheng wei 	不稱爲	c=1 d=0.0340475 t=40058
bu cheng xian 	不呈現	c=1 d=0.244143 t=40058
bu cheng zhang 	不成章	c=0 d=0.0336216 t=40058
bu chi 	不吃	c=2 d=0.300775 t=40058
bu chong 	補充	c=2 d=0.366045 t=40058
bu chu 	不出	c=0 d=0.0878095 t=40058
bu chu lai 	不出來	c=0 d=0.0748264 t=40058
bu chu xian 	不出現	c=1 d=0.744532 t=40058
bu cong 	不從	c=1 d=0.631284 t=40058
bu cun zai 	不存在	c=1 d=0.771052 t=40058
bu cun zai yu 	不存在於	c=2 d=0.0985947 t=40058
bu cuo 	不錯	c=6 d=0.283109 t=40058
bu da 	不大	c=4 d=0.829088 t=40058
bu da 	不搭	c=1 d=0.00882647 t=40058
bu dang 	不當	c=0 d=0.00308074 t=40058
bu dang hui shi 	不當回事	c=1 d=0.0129715 t=40058
bu dao 	不到	c=3 d=1.12319 t=40058
bu de 	不得	c=0 d=0.0344728 t=40058
bu de bu 	不得不	c=1 d=0.71441 t=40058
bu dei 	不得	c=2 d=0.0238732 t=40058
bu deng 	不等	c=2 d=0.954099 t=40058
bu dian 	布點	c=5 d=0.00464591 t=40058
bu diao yi zhi 	步調一致	c=0 d=0.0511709 t=40058
bu diao yi zhi xiang qian jin 	步調一致向前進	c=1 d=0.514274 t=40058
bu ding 	不定	c=0 d=2.02626e-15 t=40058
bu dong 	不動	c=2 d=0.214765 t=40058
bu dong 	不懂	c=3 d=0.266562 t=40058
bu dou 	不都	c=1 d=0.00941925 t=40058
bu dou 	布兜	c=1 d=0.00937227 t=40058
bu dou shi 	不都是	c=1 d=0.106459 t=40058
bu dou zhong le 	不都中了	c=1 d=0.0652193 t=40058
bu du 	不度	c=0 d=4.48703e-15 t=40058
bu duan 	不斷	c=8 d=1.49333 t=40058
bu duan ba 	不斷把	c=1 d=1.07565e-05 t=40058
bu duan gai ge 	不斷改革	c=1 d=0.0889216 t=40058
bu duan ji fa 	不斷激發	c=1 d=0.256661 t=40058
bu duan shen hua 	不斷深化	c=2 d=0.917035 t=40058
bu duan ti gao 	不斷提高	c=1 d=2.14454e-05 t=40058
bu duan you hua sheng ji 	不斷優化升級	c=1 d=0.591555 t=40058
bu dui 	不對	c=5 d=0.891366 t=40058
bu dui 	部隊	c=0 d=0.00338776 t=40058
bu dui fang chun jiu 	不對芳春酒	c=1 d=7.19781e-15 t=40058
bu dui yan jiu dui xiang 	不對研究對象	c=1 d=2.00576e-12 t=40058
bu duo 	不多	c=1 d=0.329559 t=40058
bu e 	不餓	c=1 d=0.463013 t=40058
bu e le 	不餓了	c=1 d=0.360595 t=40058
bu fa 	步伐	c=1 d=1.00675 t=40058
bu fa jiao jian 	步伐矯健	c=1 d=0.408608 t=40058
bu fa sheng 	不發生	c=1 d=0.839457 t=40058
bu fa yin 	不發音	c=1 d=0.0125254 t=40058
bu fang song 	不放鬆	c=0 d=0.00205478 t=40058
bu fang xin 	不放心	c=2 d=0.382893 t=40058
bu fen 	不分	c=4 d=0.949339 t=40058
bu fen 	部分	c=28 d=2.82681 t=40058
bu fen cheng shi 	部分城市	c=1 d=0.053397 t=40058
bu fen di qu 	部分地區	c=1 d=0.0889216 t=40058
bu fen fen jie fa 	部分分解法	c=1 d=0.265803 t=40058
bu fu 	不復	c=0 d=3.31262e-15 t=40058
bu fu 	不負	c=0 d=1.0158e-09 t=40058
bu fu za 	不複雜	c=2 d=0.704973 t=40058
bu gan 	不敢	c=1 d=0.965605 t=40058
bu gan xing qu 	不感興趣	c=1 d=0.00501661 t=40058
bu gao 	不高	c=1 d=0.524663 t=40058
bu gei 	不給	c=4 d=0.619868 t=40058
bu gei 	補給	c=1 d=0.0280154 t=40058
bu gen 	不跟	c=0 d=0.0151072 t=40058
bu gen ni 	不跟你	c=1 d=0.151829 t=40058
bu gong ping 	不公平	c=1 d=0.114178 t=40058
bu gou 	不夠	c=12 d=1.41474 t=40058
bu gu 	不顧	c=0 d=6.67431e-10 t=40058
bu gua 	不掛	c=1 d=0.121846 t=40058
bu guan 	不管	c=4 d=0.0281839 t=40058
bu guan ni 	不管你	c=1 d=0.082085 t=40058
bu guang 	不光	c=2 d=0.535886 t=40058
bu gui 	不歸	c=0 d=7.12255e-10 t=40058
bu gui lv 	不規律	c=1 d=0.0948935 t=40058
bu gui ze 	不規則	c=0 d=2.12429e-12 t=40058
bu gui ze xing xiao yin ying 	不規則形小陰影	c=1 d=2.13493e-11 t=40058
bu guo 	不過	c=20 d=1.37803 t=40058
bu guo yin 	不過癮	c=1 d=0.00373503 t=40058
bu han 	不含	c=1 d=0.0262523 t=40058
bu hao 	不好	c=10 d=1.97439 t=40058
bu hao gan 	不好幹	c=1 d=0.0441572 t=40058
bu hao jiao 	不好叫	c=1 d=0.313486 t=40058
bu hao na 	不好拿	c=1 d=0.125556 t=40058
bu hao yi si 	不好意思	c=1 d=0.755784 t=40058
bu he 	不合	c=2 d=1.47501 t=40058
bu he 	不喝	c=1 d=0.00763509 t=40058
bu he de yi wo si 	不合的一窩絲	c=-1 d=8.46569e-12 t=40058
bu he ge 	不合格	c=1 d=0.00628242 t=40058
bu he shen 	不合身	c=1 d=0.918512 t=40058
bu he shi 	不合適	c=3 d=0.657047 t=40058
bu hen 	不很	c=0 d=0.00699482 t=40058
bu hen ming bai 	不很明白	c=1 d=0.0702988 t=40058
bu huan 	不還	c=0 d=4.55484e-15 t=40058
bu hui 	不回	c=0 d=0.0633346 t=40058
bu hui 	不會	c=13 d=1.74569 t=40058
bu hui chan sheng 	不會產生	c=1 d=0.353455 t=40058
bu hui lai 	補回來	c=1 d=0.000129737 t=40058
bu hui qu 	不回去	c=1 d=0.465334 t=40058
bu hui qu 	不會去	c=-2 d=9.11681e-08 t=40058
bu hui yuan 	不會遠	c=1 d=1.97012e-07 t=40058
bu ji 	不急	c=1 d=0.960789 t=40058
bu ji de 	不記得	c=5 d=0.565192 t=40058
bu ji ru 	不計入	c=4 d=0.0467103 t=40058
bu jia 	不佳	c=1 d=0.527292 t=40058
bu jia 	不加	c=1 d=0.529935 t=40058
bu jian 	不減	c=0 d=0.0321422 t=40058
bu jian 	不見	c=1 d=0.00887071 t=40058
bu jian 	部件	c=1 d=0.79031 t=40058
bu jian qi chu 	不見其處	c=1 d=2.10351e-13 t=40058
bu jian you ren huan 	不見有人還	c=1 d=4.98379e-14 t=40058
bu jiang 	不講	c=1 d=0.177284 t=40058
bu jiao 	不叫	c=2 d=0.346923 t=40058
bu jie shu 	不結束	c=1 d=0.980199 t=40058
bu jin 	不僅	c=7 d=1.84658 t=40058
bu jin 	不盡	c=1 d=0.224249 t=40058
bu jin chang jiang gun gun lai 	不盡長江滾滾來	c=1 d=1.53141e-14 t=40058
bu jin jin shi 	不僅僅是	c=1 d=0.000126534 t=40058
bu jin neng gou 	不僅能夠	c=1 d=0.178173 t=40058
bu jin qu 	不進去	c=1 d=6.20702e-08 t=40058
bu jin rang 	不僅讓	c=1 d=0.150318 t=40058
bu jin ru ren yi 	不盡如人意	c=1 d=0.865022 t=40058
bu jin shi 	不僅是	c=2 d=0.544422 t=40058
bu jing guo 	不經過	c=1 d=0.396531 t=40058
bu ju 	佈局	c=17 d=2.00219 t=40058
bu ju you 	不具有	c=1 d=0.000296045 t=40058
bu jue 	不覺	c=0 d=4.01964e-15 t=40058
bu jue ru lv 	不絕如縷	c=1 d=9.17233e-14 t=40058
bu jue yu er 	不絕於耳	c=1 d=9.12658e-14 t=40058
bu jun 	不均	c=0 d=0.0628135 t=40058
bu jun heng 	不均衡	c=1 d=0.14808 t=40058
bu kai 	不開	c=0 d=0.0289384 t=40058
bu kan 	不看	c=1 d=0.0057417 t=40058
