# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	52380
#@/user_id	stella
a 	啊	c=125 d=5.39376 t=52380
bei pan lang ji 	杯盤狼藉	c=1 d=1.36152e-13 t=52380
bei qiu 	悲秋	c=0 d=1.53141e-15 t=52380
bei shang 	北上	c=1 d=0.100259 t=52380
bei shang guang 	北上廣	c=1 d=0.0333733 t=52380
bei shi wei 	被視爲	c=1 d=0.219808 t=52380
bei shu 	倍數	c=2 d=0.290835 t=52380
bei shui 	被誰	c=0 d=0.00430669 t=52380
bei song 	北宋	c=2 d=0.0321758 t=52380
bei song 	背誦	c=5 d=0.694665 t=52380
bei su 	倍速	c=1 d=0.70822 t=52380
bei ye 	貝葉	c=0 d=0.0163654 t=52380
bei ye si 	貝葉斯	c=4 d=0.971905 t=52380
bei yi que 	背伊闕	c=2 d=0.97531 t=52380
bei yong 	備用	c=1 d=0.00331267 t=52380
bei yong jin 	備用金	c=0 d=0.0348192 t=52380
bei you 	倍有	c=1 d=0.242926 t=52380
bei zeng 	倍增	c=1 d=0.818731 t=52380
bei zhe 	背着	c=2 d=1.49835 t=52380
bei zhong 	杯中	c=0 d=0.0138761 t=52380
bei zhong jiu 	杯中酒	c=1 d=0.139457 t=52380
bei zi 	杯子	c=2 d=0.995012 t=52380
bei zi 	被子	c=1 d=0.00711891 t=52380
ben 	本	c=10 d=0.930075 t=52380
ben 	笨	c=2 d=0.894441 t=52380
ben 	苯	c=2 d=8.72497e-10 t=52380
ben bi 	本幣	c=0 d=0.0860708 t=52380
ben bi jie suan 	本幣結算	c=1 d=0.865022 t=52380
ben bing an suan 	苯丙氨酸	c=3 d=0.869367 t=52380
ben ci 	本次	c=2 d=0.0862936 t=52380
ben da suan 	本打算	c=1 d=0.136695 t=52380
ben di 	本地	c=4 d=0.241714 t=52380
ben fen 	本分	c=1 d=0.301316 t=52380
ben ji 	苯基	c=0 d=0.02334 t=52380
ben ji bing an suan 	苯基丙氨酸	c=1 d=0.23457 t=52380
ben ke 	本科	c=9 d=0.943356 t=52380
ben ke sheng 	本科生	c=2 d=0.869358 t=52380
ben lai 	本來	c=7 d=1.03841 t=52380
ben liu 	奔流	c=0 d=1.58596e-15 t=52380
ben liu dao hai bu fu hui 	奔流到海不復回	c=1 d=1.59391e-14 t=52380
ben liu dao yi 	本留到以	c=-1 d=1 t=52380
ben liu de yi 	本留得以	c=-1 d=0 t=52380
ben ma 	奔馬	c=0 d=0.00911727 t=52380
ben shen 	本身	c=10 d=0.794534 t=52380
ben sheng 	本生	c=-1 d=1.19494e-07 t=52380
ben sheng 	本省	c=1 d=9.39973e-08 t=52380
ben shi 	本事	c=3 d=1.27507 t=52380
ben shu 	本書	c=1 d=0.680451 t=52380
ben wen 	本文	c=2 d=1.10162 t=52380
ben xi wu 	苯系物	c=2 d=1.95551 t=52380
ben xiang 	本想	c=1 d=0.00546167 t=52380
ben xiao 	本校	c=1 d=0.000120966 t=52380
ben yan jiu 	本研究	c=1 d=0.00918669 t=52380
ben ye 	本頁	c=1 d=0.955997 t=52380
ben zhe 	奔着	c=1 d=0.433874 t=52380
ben zhe 	本着	c=3 d=0.821019 t=52380
ben zhi 	本質	c=5 d=0.424857 t=52380
ben zhi he zong zhi 	本質和宗旨	c=1 d=0.344728 t=52380
ben zi 	本子	c=1 d=0.00951391 t=52380
ben zi 	本字	c=1 d=0.427415 t=52380
ben zou 	奔走	c=0 d=0.0865022 t=52380
beng 	崩	c=2 d=0.568647 t=52380
beng cui 	崩摧	c=0 d=2.09843e-15 t=52380
beng tiao 	蹦跳	c=1 d=0.704688 t=52380
bi 	吡	c=0 d=0.0256661 t=52380
bi 	壁	c=0 d=0.0970446 t=52380
bi 	彼	c=0 d=0.00569831 t=52380
bi 	比	c=37 d=1.94647 t=52380
bi 	碧	c=0 d=5.29197e-15 t=52380
bi 	蔽	c=0 d=0.00682212 t=52380
bi 	避	c=0 d=7.43977e-15 t=52380
bi bang 	臂膀	c=1 d=0.433874 t=52380
bi cheng 	鄙誠	c=0 d=4.63486e-14 t=52380
bi ci 	彼此	c=3 d=0.486986 t=52380
bi da ge la si 	畢達哥拉斯	c=2 d=0.36553 t=52380
bi da ge la si ding li 	畢達哥拉斯定理	c=1 d=0.160414 t=52380
bi ding 	必定	c=1 d=0.985112 t=52380
bi dui 	比對	c=1 d=0.279431 t=52380
bi fang 	比方	c=0 d=0.0404805 t=52380
bi guan 	閉關	c=1 d=0.802519 t=52380
bi guan 	閉館	c=1 d=0.806541 t=52380
bi hao 	敝號	c=-2 d=3.20811e-08 t=52380
bi he ren si 	彼何人斯	c=1 d=0.0575558 t=52380
bi hua 	壁畫	c=1 d=0.0441572 t=52380
bi hua 	比劃	c=3 d=2.40105 t=52380
bi hua 	筆畫	c=1 d=0.0443785 t=52380
bi huo xing 	比活性	c=1 d=0.946485 t=52380
bi ji 	筆記	c=3 d=0.927743 t=52380
bi ji ben 	筆記本	c=8 d=0.697676 t=52380
bi jiao 	比較	c=34 d=1.06785 t=52380
bi jiao cheng shu 	比較成熟	c=1 d=0.101266 t=52380
bi jiao da 	比較大	c=1 d=0.035437 t=52380
bi jiao duo 	比較多	c=1 d=2.91687e-06 t=52380
bi jiao yan jiu 	比較研究	c=0 d=2.65388e-13 t=52380
bi jiao you shi 	比較優勢	c=1 d=0.0575558 t=52380
bi jing 	畢竟	c=3 d=1.22186 t=52380
bi li 	比例	c=8 d=0.776636 t=52380
bi li guan xi 	比例關係	c=1 d=0.396531 t=52380
bi li si wang bi 	比例死亡比	c=1 d=8.52869e-11 t=52380
bi luo 	吡咯	c=2 d=0.519779 t=52380
bi luo lai an suan 	吡咯賴氨酸	c=1 d=0.257947 t=52380
bi mian 	避免	c=12 d=0.686797 t=52380
bi mu 	閉幕	c=2 d=0.729409 t=52380
bi nei 	鼻內	c=2 d=0.0194492 t=52380
bi ni 	比你	c=1 d=0.33454 t=52380
bi qu 	比去	c=1 d=0.0175975 t=52380
bi ran 	必然	c=2 d=0.652537 t=52380
bi ran hui 	必然會	c=1 d=0.511709 t=52380
bi re 	比熱	c=0 d=2.15675e-14 t=52380
bi re rong 	比熱容	c=1 d=2.16757e-13 t=52380
bi ru 	比如	c=42 d=2.4067 t=52380
bi ru xiang 	比如像	c=1 d=0.251579 t=52380
bi shang 	閉上	c=-1 d=1.21946e-07 t=52380
bi shang shuang yan 	閉上雙眼	c=1 d=0.737123 t=52380
bi sheng 	必勝	c=1 d=0.501979 t=52380
bi shi 	筆試	c=3 d=0.604218 t=52380
bi shi 	鄙視	c=1 d=0.694197 t=52380
bi shou 	匕首	c=1 d=0.0575558 t=52380
bi shu 	比數	c=0 d=7.52655e-12 t=52380
bi shu bi 	比數比	c=1 d=7.56427e-11 t=52380
bi si 	鼻飼	c=2 d=0.000435072 t=52380
bi wo 	比我	c=1 d=3.59848e-06 t=52380
bi wu 	筆誤	c=2 d=0.00570363 t=52380
bi xiu ke 	必修課	c=1 d=0.000193545 t=52380
bi xu 	必需	c=13 d=1.31147 t=52380
bi xu 	必須	c=17 d=1.20122 t=52380
bi xu an ji suan 	必需氨基酸	c=1 d=3.21744e-10 t=52380
bi xu ji huo ji 	必需激活劑	c=1 d=0.832665 t=52380
bi xu ji tuan 	必需基團	c=6 d=3.17432 t=52380
bi xu you 	必須由	c=1 d=0.000356206 t=52380
bi xu zhi fang suan 	必需脂肪酸	c=1 d=3.47589e-10 t=52380
bi yao 	必要	c=3 d=0.585669 t=52380
bi yao de dan sun shi 	必要的氮損失	c=1 d=2.96196e-10 t=52380
bi ye 	畢業	c=3 d=0.514325 t=52380
bi ye hou 	畢業後	c=1 d=0.00196945 t=52380
bi ye sheng 	畢業生	c=0 d=0.0111359 t=52380
bi ye yu 	畢業於	c=1 d=6.39714e-10 t=52380
bi ye zheng 	畢業證	c=7 d=0.110782 t=52380
bi you 	必有	c=0 d=1.63426e-15 t=52380
bi yu 	比喻	c=1 d=0.0510474 t=52380
bi yu 	碧玉	c=1 d=0.0507928 t=52380
bi zai 	比在	c=1 d=0.000437252 t=52380
bi zhe 	比着	c=2 d=0.752014 t=52380
bi zheng 	必爭	c=0 d=0.0918512 t=52380
bi zhi 	比值	c=1 d=0.245367 t=52380
bi zhi bi 	比值比	c=1 d=4.10014e-12 t=52380
bi zi 	鼻子	c=2 d=0.0674972 t=52380
bian 	扁	c=1 d=0.125556 t=52380
bian 	編	c=6 d=3.05793 t=52380
bian 	變	c=4 d=0.918521 t=52380
bian 	辨	c=0 d=6.51284e-16 t=52380
bian 	邊	c=2 d=0.818731 t=52380
bian bian 	變變	c=1 d=0.0471227 t=52380
bian ce 	鞭策	c=1 d=0.960789 t=52380
bian chang 	變長	c=1 d=0.733447 t=52380
bian chang 	邊長	c=1 d=0.737123 t=52380
bian cheng 	編成	c=5 d=1.20757 t=52380
bian cheng 	變成	c=5 d=0.985651 t=52380
bian cheng yu yan 	編程語言	c=1 d=0.0175975 t=52380
bian dong 	變動	c=1 d=0.522046 t=52380
bian ge 	變革	c=1 d=0.641332 t=52380
bian gou 	編構	c=-1 d=5.58832e-08 t=52380
bian gou 	變構	c=1 d=0.413263 t=52380
bian gou xiao ying 	變構效應	c=1 d=0.418952 t=52380
bian hao 	編好	c=1 d=0.0211736 t=52380
bian hao 	編號	c=9 d=1.56889 t=52380
bian hao zhong 	編號中	c=1 d=0.612626 t=52380
bian hua 	變化	c=20 d=1.45132 t=52380
bian hua gui lv 	變化規律	c=1 d=0.145148 t=52380
bian huan 	變換	c=5 d=1.29973 t=52380
bian ji 	編輯	c=3 d=0.0139806 t=52380
bian ji qi 	編輯器	c=2 d=0.0275983 t=52380
bian jie 	便捷	c=1 d=1.73026e-09 t=52380
bian jie 	邊界	c=0 d=0.0767206 t=52380
bian ju 	編劇	c=3 d=1.47536 t=52380
bian le 	變了	c=1 d=0.16629 t=52380
bian li 	便利	c=1 d=0.0652042 t=52380
bian li 	遍歷	c=2 d=1.00122e-06 t=52380
bian li di 	便利地	c=1 d=0.0515605 t=52380
bian li di 	便利第	c=-1 d=0 t=52380
bian li hua 	便利化	c=2 d=0.867218 t=52380
bian li xing 	便利性	c=1 d=0.140858 t=52380
bian liang 	變量	c=4 d=0.910234 t=52380
bian lun 	辯論	c=1 d=0.429557 t=52380
bian ma 	編碼	c=18 d=2.77118 t=52380
bian ma an ji suan 	編碼氨基酸	c=1 d=0.00145901 t=52380
bian ma qu 	編碼區	c=1 d=0.933106 t=52380
bian min 	便民	c=0 d=0.0802519 t=52380
bian min hui min fu wu 	便民惠民服務	c=1 d=0.806541 t=52380
bian pai 	編排	c=1 d=0.190139 t=52380
bian shang 	邊上	c=2 d=0.814647 t=52380
bian su qi 	變速器	c=2 d=1.199 t=52380
bian su xiang 	變速箱	c=1 d=0.425283 t=52380
bian tai 	變態	c=2 d=0.461178 t=52380
bian tai fan ying 	變態反應	c=1 d=0.0450492 t=52380
bian wei 	變爲	c=1 d=0.650509 t=52380
bian wei xian shi 	變爲現實	c=1 d=0.0608101 t=52380
bian xie 	編寫	c=4 d=0.00204144 t=52380
bian xing 	變性	c=26 d=3.01702 t=52380
bian xing de 	變性的	c=1 d=0.307279 t=52380
bian xing jin gang 	變形金剛	c=1 d=0.985112 t=52380
bian xing ti du ning jiao dian yong 	變性梯度凝膠電泳	c=1 d=4.08886e-09 t=52380
bian xing wei 	變性爲	c=1 d=0.11475 t=52380
bian xing yin su 	變性因素	c=1 d=0.190139 t=52380
bian yi 	編譯	c=6 d=1.53755 t=52380
bian yi 	變異	c=1 d=3.09887e-09 t=52380
bian yi 	貶義	c=1 d=0.122456 t=52380
bian yi ji yin 	變異基因	c=1 d=3.03642e-08 t=52380
bian yi xi shu 	變異係數	c=1 d=7.19536e-11 t=52380
bian ying xing jie chu xing pi yan 	變應性接觸性皮炎	c=1 d=2.27243e-10 t=52380
bian ying yuan 	變應原	c=4 d=1.91678 t=52380
bian yu 	便於	c=1 d=0.995012 t=52380
bian zheng fa 	辯證法	c=1 d=0.540641 t=52380
bian zhi 	編制	c=1 d=0.170333 t=52380
bian zhu 	邊註	c=1 d=0.704688 t=52380
biao 	標	c=2 d=0.175079 t=52380
biao 	表	c=3 d=0.373439 t=52380
biao chen 	飆塵	c=0 d=8.15202e-10 t=52380
biao da 	表達	c=25 d=3.78209 t=52380
biao da hou 	表達後	c=1 d=0.133989 t=52380
biao da liang 	表達量	c=3 d=0.637546 t=52380
biao da sha 	表達啥	c=1 d=0.427415 t=52380
biao da xi tong 	表達系統	c=1 d=0.000553084 t=52380
biao da yu 	表達於	c=2 d=1.23832 t=52380
biao da yu 	表達與	c=-1 d=8.98612e-08 t=52380
biao da zai ti 	表達載體	c=1 d=0.000480828 t=52380
biao fang 	標方	c=-1 d=1.38832e-07 t=52380
biao ge 	標個	c=4 d=0.917287 t=52380
biao ge 	表格	c=12 d=3.26268 t=52380
biao ge ge shi 	表格格式	c=1 d=0.00719046 t=52380
biao guan 	表觀	c=5 d=1.73241 t=52380
biao hao 	標號	c=3 d=0.0569831 t=52380
biao hua 	標化	c=1 d=2.52926e-05 t=52380
biao hua bi 	標化比	c=1 d=3.40764e-12 t=52380
biao hua bi li si wang bi 	標化比例死亡比	c=1 d=3.42473e-12 t=52380
biao hua si wang bi 	標化死亡比	c=1 d=3.39065e-12 t=52380
biao ji 	標記	c=2 d=0.881466 t=52380
biao ma 	彪馬	c=1 d=0.00106477 t=52380
biao mian 	表面	c=7 d=1.33681 t=52380
biao mian biao zhi 	表面標誌	c=2 d=0.0107269 t=52380
biao mian fen zi 	表面分子	c=3 d=0.109665 t=52380
biao mian xiao ying 	表面效應	c=1 d=0.763379 t=52380
biao ming 	標明	c=1 d=0.786628 t=52380
biao ming 	表明	c=6 d=0.782705 t=52380
biao qian 	標籤	c=8 d=1.88577 t=52380
biao qing 	表情	c=4 d=0.328929 t=52380
biao qing cou 	表情湊	c=1 d=0.218712 t=52380
biao shi 	表示	c=21 d=2.54189 t=52380
biao shu 	表述	c=3 d=0.974931 t=52380
biao shuai 	表率	c=0 d=1.86437e-06 t=52380
biao ti 	標題	c=9 d=1.6276 t=52380
biao tou 	表頭	c=1 d=0.0430669 t=52380
biao wei 	表位	c=9 d=1.85017 t=52380
biao wei da xiao 	表位大小	c=1 d=0.113042 t=52380
biao wei lei xing 	表位類型	c=1 d=0.121238 t=52380
biao wei wei zhi 	表位位置	c=1 d=0.124307 t=52380
biao wei xing zhi 	表位性質	c=1 d=0.110251 t=52380
biao xian 	表現	c=4 d=0.96567 t=52380
biao xian chu 	表現出	c=3 d=0.0148121 t=52380
biao xian le 	表現了	c=1 d=0.000204488 t=52380
biao xian xing shi 	表現形式	c=1 d=0.146607 t=52380
biao xian zai 	表現在	c=1 d=0.242926 t=52380
biao xing 	表型	c=1 d=0.00047843 t=52380
biao yan 	表演	c=1 d=0.995012 t=52380
biao yi 	表意	c=1 d=0.196912 t=52380
biao yu 	標語	c=0 d=0.00893673 t=52380
biao zhi 	標誌	c=5 d=0.985171 t=52380
biao zhi xing 	標誌性	c=1 d=0.752014 t=52380
biao zhua 	標抓	c=-1 d=2.74084e-09 t=52380
biao zhun 	標準	c=11 d=1.00618 t=52380
biao zhun cha 	標準差	c=1 d=7.12377e-11 t=52380
biao zhun dui zhao 	標準對照	c=1 d=4.76368e-12 t=52380
biao zhun hua 	標準化	c=4 d=0.960824 t=52380
biao zhun hua fa 	標準化法	c=1 d=8.87675e-11 t=52380
biao zhun hua si wang bi 	標準化死亡比	c=1 d=8.92125e-11 t=52380
biao zhun jia ru fa 	標準加入法	c=1 d=0.45612 t=52380
biao zhun qu xian fa 	標準曲線法	c=1 d=0.453845 t=52380
biao zhun wu 	標準誤	c=2 d=0.463013 t=52380
bie 	別	c=13 d=1.6744 t=52380
bie 	癟	c=0 d=0.0537944 t=52380
bie dang 	別當	c=1 d=0.501576 t=52380
bie de 	別的	c=6 d=0.430925 t=52380
bie de shi er 	別的事兒	c=1 d=0.336216 t=52380
bie gei 	別給	c=1 d=0.900325 t=52380
bie gou 	別構	c=3 d=0.54093 t=52380
bie gou bu wei 	別構部位	c=1 d=0.108067 t=52380
bie gou dan bai 	別構蛋白	c=1 d=0.431711 t=52380
bie gou ji 	別構劑	c=1 d=0.451581 t=52380
bie gou ji huo ji 	別構激活劑	c=1 d=0.339596 t=52380
bie gou ji huo xiao ying 	別構激活效應	c=1 d=0.33454 t=52380
bie gou mei 	別構酶	c=7 d=0.756552 t=52380
bie gou tiao jie 	別構調節	c=1 d=0.118245 t=52380
bie gou xiao ying 	別構效應	c=11 d=1.79857 t=52380
bie gou xiao ying ji 	別構效應劑	c=4 d=0.458406 t=52380
bie gou yi zhi ji 	別構抑制劑	c=1 d=0.351692 t=52380
bie jun qu shi he shi huan 	別君去時何時還	c=1 d=2.27321e-14 t=52380
bie kan 	別看	c=2 d=0.433874 t=52380
bie li 	別離	c=0 d=6.3488e-10 t=52380
bie niu 	彆扭	c=2 d=0.38318 t=52380
bie ren 	別人	c=8 d=0.538382 t=52380
bie wang le 	別忘了	c=3 d=0.304221 t=52380
bie wen 	別問	c=1 d=0.264477 t=52380
bie yong 	別用	c=1 d=0.826959 t=52380
bin 	豳	c=2 d=0.37783 t=52380
bin guan 	賓館	c=0 d=0.000532682 t=52380
bin zhu 	賓主	c=0 d=2.3481e-14 t=52380
bin zhu jin dong nan zhi mei 	賓主盡東南之美	c=1 d=2.35987e-13 t=52380
bing 	並	c=43 d=1.98289 t=52380
bing 	兵	c=0 d=0.0869358 t=52380
bing 	病	c=4 d=0.7819 t=52380
bing 	餅	c=3 d=0.847894 t=52380
bing an suan 	丙氨酸	c=3 d=0.904837 t=52380
bing bu 	並不	c=5 d=0.491047 t=52380
bing bu da 	並不大	c=1 d=0.00308872 t=52380
bing bu hao 	並不好	c=2 d=0.000772073 t=52380
bing bu neng 	並不能	c=1 d=1.26229e-05 t=52380
bing bu shi 	並不是	c=2 d=0.542409 t=52380
bing bu shou 	並不受	c=1 d=0.00900478 t=52380
bing bu suan 	並不算	c=1 d=0.0461896 t=52380
bing bu zai 	並不在	c=1 d=0.683861 t=52380
bing cheng 	病程	c=0 d=9.33072e-13 t=52380
bing cheng chang duan pian yi 	病程長短偏倚	c=1 d=7.10658e-12 t=52380
bing cheng suo duan 	病程縮短	c=1 d=1.18652e-12 t=52380
bing cheng yan chang 	病程延長	c=1 d=1.08439e-12 t=52380
bing chi 	秉持	c=2 d=0.961132 t=52380
bing cun 	並存	c=3 d=0.785642 t=52380
bing dong 	冰凍	c=1 d=0.160414 t=52380
bing du gan ran 	病毒感染	c=1 d=0.000174253 t=52380
bing dui 	並對	c=1 d=0.0668703 t=52380
bing er quan 	丙二醛	c=2 d=3.74898e-08 t=52380
bing fei 	並非	c=2 d=0.337272 t=52380
bing gai bian 	並改變	c=1 d=0.0992613 t=52380
bing ji 	並擊	c=1 d=0.0196437 t=52380
bing ji 	並集	c=1 d=0.740818 t=52380
bing ji ji 	並積極	c=1 d=0.109154 t=52380
bing jiang 	並將	c=2 d=0.991228 t=52380
bing ju 	並舉	c=0 d=0.097531 t=52380
bing kuai 	冰塊	c=1 d=2.15675e-13 t=52380
bing lei 	丙類	c=1 d=9.35603e-12 t=52380
bing li 	病例	c=4 d=0.861104 t=52380
bing li 	病歷	c=1 d=0.612626 t=52380
bing li 	病理	c=0 d=0.0540641 t=52380
bing li bao gao 	病例報告	c=1 d=1.87953e-12 t=52380
bing li bing li 	病例病例	c=1 d=4.05935e-12 t=52380
bing li dui lie yan jiu 	病例隊列研究	c=1 d=3.9989e-12 t=52380
bing li dui zhao 	病例對照	c=2 d=0.000291283 t=52380
bing li dui zhao yan jiu 	病例對照研究	c=3 d=2.7206e-08 t=52380
bing li guo cheng 	病理過程	c=1 d=0.543351 t=52380
bing li jiao cha she ji 	病例交叉設計	c=1 d=4.01896e-12 t=52380
bing li pian yi 	病例偏倚	c=1 d=4.22501e-12 t=52380
bing li qian chu 	病例遷出	c=1 d=1.21049e-12 t=52380
bing li qian ru 	病例遷入	c=1 d=1.12302e-12 t=52380
bing li shi jian dui zhao she ji 	病例時間對照設計	c=1 d=4.0391e-12 t=52380
bing li xi lie fen xi 	病例系列分析	c=1 d=1.88895e-12 t=52380
bing li zu 	病例組	c=1 d=2.83114e-08 t=52380
bing li zu 	病立足	c=-1 d=4.2579e-15 t=52380
bing lian 	並聯	c=0 d=6.62613e-13 t=52380
bing lian shi yan 	並聯試驗	c=1 d=6.65935e-12 t=52380
bing lie 	並列	c=1 d=0.131336 t=52380
bing mei you 	並沒有	c=2 d=0.165302 t=52380
bing qie 	並且	c=4 d=1.25519 t=52380
bing se 	冰塞	c=0 d=5.23932e-15 t=52380
bing shi 	並使	c=1 d=0.0356204 t=52380
bing shi qi 	並使其	c=1 d=0.346456 t=52380
bing shui 	冰水	c=1 d=0.0250972 t=52380
bing si 	病死	c=0 d=1.16885e-13 t=52380
bing si lv 	病死率	c=4 d=2.27061e-11 t=52380
bing tong 	丙酮	c=2 d=0.568744 t=52380
bing tuan 	兵團	c=0 d=0.0438235 t=52380
bing wei 	並未	c=2 d=0.051052 t=52380
bing xiang 	並向	c=2 d=0.379083 t=52380
bing xiang 	冰箱	c=1 d=0.377192 t=52380
bing xing cheng 	並形成	c=1 d=0.00831246 t=52380
bing xue 	冰雪	c=0 d=0.0980199 t=52380
bing xue wu ren jian 	冰雪無人見	c=1 d=0.985112 t=52380
bing yi 	並以	c=1 d=0.125556 t=52380
bing yi ci 	並以此	c=1 d=0.324652 t=52380
bing yin 	病因	c=2 d=7.22313e-12 t=52380
bing yin fen zhi 	病因分值	c=2 d=8.10449e-12 t=52380
bing yin jia she 	病因假設	c=1 d=2.15119e-12 t=52380
bing yin lian 	病因鏈	c=1 d=7.69846e-12 t=52380
bing yin wang 	病因網	c=1 d=7.77584e-12 t=52380
bing yin xian suo 	病因線索	c=1 d=2.12978e-12 t=52380
bing yin yu fang 	病因預防	c=1 d=1.19534e-11 t=52380
bing you 	並有	c=1 d=0.00447164 t=52380
bing yu 	並與	c=1 d=7.03228e-06 t=52380
bing yu qi 	並與其	c=1 d=0.364219 t=52380
bing yu zhi 	並與之	c=2 d=0.0303234 t=52380
bing yuan 	病原	c=0 d=3.11223e-05 t=52380
bing yuan 	病源	c=1 d=0.346456 t=52380
bing yuan sheng wu 	病原生物	c=1 d=0.000312783 t=52380
bing yuan ti 	病原體	c=5 d=1.96118 t=52380
bing yuan ti xiang guan mo shi fen zi 	病原體相關模式分子	c=1 d=0.000319102 t=52380
bing zai 	並在	c=2 d=0.427415 t=52380
bing zhi zhuang 	並指狀	c=1 d=0.362402 t=52380
bing zhong 	病種	c=1 d=0.477114 t=52380
bing zhou 	并州	c=1 d=0.249075 t=52380
bo 	伯	c=0 d=7.178e-13 t=52380
bo 	啵	c=4 d=1.39057 t=52380
bo 	撥	c=0 d=0.0332871 t=52380
bo 	波	c=1 d=1.11415e-07 t=52380
bo 	薄	c=0 d=7.37626e-10 t=52380
bo ceng 	薄層	c=0 d=0.000446509 t=52380
bo ceng dian yong fa 	薄層電泳法	c=1 d=0.00193045 t=52380
bo ceng se pu fa 	薄層色譜法	c=2 d=0.00253791 t=52380
bo chang 	波長	c=6 d=0.546589 t=52380
bo chu 	播出	c=1 d=0.506617 t=52380
bo ci 	波次	c=6 d=0.449441 t=52380
bo da 	撥打	c=1 d=9.28217e-07 t=52380
bo dao 	博導	c=1 d=0.767206 t=52380
bo diao 	剝掉	c=1 d=0.529935 t=52380
bo dong 	波動	c=0 d=1.54655e-13 t=52380
bo er 	玻爾	c=0 d=0.0257947 t=52380
bo er zi man fen bu ding lv 	玻爾茲曼分佈定律	c=1 d=0.25924 t=52380
bo fang 	播放	c=4 d=1.93131 t=52380
bo fang qi 	播放器	c=1 d=0.13466 t=52380
bo han yue yang cheng 	波撼岳陽城	c=1 d=1.70861e-08 t=52380
bo hao 	撥號	c=1 d=0.0157644 t=52380
bo ke sen pian yi 	伯克森偏倚	c=1 d=7.21398e-12 t=52380
bo lan 	波瀾	c=0 d=1.82257e-15 t=52380
bo lan dong yuan kong 	波瀾動遠空	c=1 d=1.29848e-14 t=52380
bo li 	玻璃	c=1 d=0.0184074 t=52380
bo li duo xiao 	薄利多銷	c=2 d=0.814647 t=52380
bo mo 	薄膜	c=2 d=0.814917 t=52380
bo mu 	薄暮	c=0 d=1.51226e-14 t=52380
bo pu 	波譜	c=1 d=0.667878 t=52380
bo shi 	博士	c=10 d=0.586036 t=52380
bo shi hou 	博士後	c=1 d=0.873716 t=52380
bo shi sheng 	博士生	c=1 d=0.000274654 t=52380
bo shi yan jiu sheng 	博士研究生	c=1 d=0.216536 t=52380
bo si yu 	波斯語	c=1 d=0.0500366 t=52380
bo song 	播送	c=1 d=0.000153011 t=52380
bo tao 	波濤	c=0 d=0.0960789 t=52380
bo tao xiong yong 	波濤洶涌	c=1 d=4.71132e-29 t=52380
bo wu 	博物	c=1 d=4.83486e-10 t=52380
bo wu 	薄霧	c=2 d=0.0380755 t=52380
bo wu guan 	博物館	c=8 d=0.266189 t=52380
bo wu long zhao 	薄霧籠罩	c=1 d=0.0157644 t=52380
bo wu yuan 	博物院	c=1 d=0.759587 t=52380
bo xiao kui yun fu 	薄霄愧雲浮	c=1 d=5.12319e-15 t=52380
bo zhong jian 	伯仲間	c=0 d=0.0220504 t=52380
bo zi 	脖子	c=2 d=0.071177 t=52380
bo zi teng 	脖子疼	c=1 d=0.715338 t=52380
bu 	不	c=67 d=3.32062 t=52380
bu 	布	c=3 d=0.876209 t=52380
bu 	補	c=0 d=0.120998 t=52380
bu 	部	c=1 d=0.438353 t=52380
bu ai shi 	不礙事	c=1 d=0.000237581 t=52380
bu ba 	不把	c=1 d=0.147342 t=52380
bu bao cun 	不保存	c=1 d=0.18452 t=52380
bu bao xi wang 	不抱希望	c=1 d=0.995012 t=52380
bu bei 	不被	c=1 d=0.0850088 t=52380
bu bi 	不必	c=1 d=0.491644 t=52380
bu bi 	不比	c=2 d=0.185444 t=52380
bu bian 	不便	c=5 d=1.63884 t=52380
bu bian 	不變	c=4 d=1.49941 t=52380
bu biao da 	不表達	c=1 d=0.00355287 t=52380
bu bo 	布帛	c=1 d=0.0432828 t=52380
bu bu 	補補	c=4 d=0.427765 t=52380
bu cai liao 	補材料	c=1 d=0.398519 t=52380
bu can 	逋殘	c=-1 d=1.47417e-07 t=52380
bu can shi shang ying 	不慚世上英	c=1 d=2.9043e-14 t=52380
bu chan sheng 	不產生	c=2 d=0.980346 t=52380
bu chang 	不常	c=0 d=4.43092e-14 t=52380
bu chang 	補償	c=1 d=0.132655 t=52380
bu chang yong 	不常用	c=1 d=0.0547488 t=52380
bu chao guo 	不超過	c=2 d=0.91062 t=52380
bu cheng 	不成	c=2 d=0.787526 t=52380
bu cheng gong 	不成功	c=4 d=0.213312 t=52380
bu cheng wei 	不稱爲	c=1 d=0.0340475 t=52380
bu cheng xian 	不呈現	c=1 d=0.244143 t=52380
bu cheng zhang 	不成章	c=0 d=0.0336216 t=52380
bu chi 	不吃	c=5 d=0.460335 t=52380
bu chi le 	不吃了	c=1 d=0.141564 t=52380
bu chi mo 	不吃饃	c=1 d=0.0118551 t=52380
bu chong 	補充	c=2 d=0.366045 t=52380
bu chu 	不出	c=0 d=0.0878095 t=52380
bu chu lai 	不出來	c=0 d=0.0748264 t=52380
bu chu xian 	不出現	c=1 d=0.744532 t=52380
bu cong 	不從	c=1 d=0.631284 t=52380
bu cun zai 	不存在	c=1 d=0.771052 t=52380
bu cun zai yu 	不存在於	c=2 d=0.0985947 t=52380
bu cuo 	不錯	c=10 d=0.676101 t=52380
bu da 	不大	c=5 d=0.829088 t=52380
